position;time;model;response;gpu;diff_time;norm_time
108;47.40807604789734;openai/gpt-oss-120b;;H100-NVL;0.7008490562438965;0.1374834630110248
109;51.54308819770813;openai/gpt-oss-120b;;H100-NVL;4.135012149810791;0.15098735844947872
110;52.42514395713806;openai/gpt-oss-120b;;H100-NVL;0.8820557594299316;0.1538679276750789
111;56.18393540382385;openai/gpt-oss-120b;;H100-NVL;3.758791446685791;0.1661431822165492
112;57.3006443977356;openai/gpt-oss-120b;;H100-NVL;1.1167089939117503;0.1697900690799059
113;59.87861728668213;openai/gpt-oss-120b;;H100-NVL;2.577972888946526;0.17820907126762517
114;60.79739284515381;openai/gpt-oss-120b;;H100-NVL;0.9187755584716797;0.1812095579949922
115;62.23961067199707;openai/gpt-oss-120b;;H100-NVL;1.4422178268432617;0.1859194737165353
116;64.04182124137878;openai/gpt-oss-120b;;H100-NVL;1.8022105693817139;0.1918050339531892
117;66.02101993560791;openai/gpt-oss-120b;;H100-NVL;1.979198694229126;0.1982685922815529
118;68.15675806999207;openai/gpt-oss-120b;;H100-NVL;2.1357381343841553;0.20524336851091948
119;71.07900977134705;openai/gpt-oss-120b;;H100-NVL;2.9222517013549805;0.21478669752429308
120;71.1970841884613;openai/gpt-oss-120b;;H100-NVL;0.11807441711425781;0.21517229846690222
121;72.54216742515564;openai/gpt-oss-120b;;H100-NVL;1.345083236694336;0.2195649973819873
122;72.992924451828;openai/gpt-oss-120b;;H100-NVL;0.4507570266723633;0.2210370549082537
124;73.09178853034973;openai/gpt-oss-120b;;H100-NVL;0.09886407852172852;0.22135991978279526
125;73.12318587303162;openai/gpt-oss-120b;;H100-NVL;0.031397342681884766;0.22146245549907867
126;73.71797943115234;openai/gpt-oss-120b;;H100-NVL;0.5947935581207275;0.2234048996141935
123;73.90777516365051;openai/gpt-oss-120b;;H100-NVL;0.18979573249816895;0.22402472408712457
127;74.54353547096252;openai/gpt-oss-120b;;H100-NVL;0.6357603073120117;0.22610095516041262
129;75.35965061187744;openai/gpt-oss-120b;;H100-NVL;0.816115140914917;0.228766179137846
128;75.49468278884888;openai/gpt-oss-120b;;H100-NVL;0.13503217697143555;0.2292071598006797
130;76.58985924720764;openai/gpt-oss-120b;;H100-NVL;1.0951764583587646;0.23278372689275217
131;77.29982686042786;openai/gpt-oss-120b;;H100-NVL;0.7099676132202148;0.23510230010759828
132;77.40066337585449;openai/gpt-oss-120b;;H100-NVL;0.10083651542663574;0.23543160645818823
133;77.66221046447754;openai/gpt-oss-120b;;H100-NVL;0.2615470886230469;0.23628575256684217
135;78.1816201210022;openai/gpt-oss-120b;;H100-NVL;0.5194096565246582;0.23798201207886155
134;78.345468044281;openai/gpt-oss-120b;;H100-NVL;0.1638479232788086;0.23851709762241094
136;78.86120438575745;openai/gpt-oss-120b;;H100-NVL;0.5157363414764404;0.2402013610240136
137;80.15398168563843;openai/gpt-oss-120b;;H100-NVL;1.2927772998809814;0.24442324208513655
138;80.39110207557678;openai/gpt-oss-120b;;H100-NVL;0.2371203899383545;0.2451976168236
140;80.64545059204102;openai/gpt-oss-120b;;H100-NVL;0.2543485164642334;0.24602825423089664
139;80.66246128082275;openai/gpt-oss-120b;;H100-NVL;0.01701068878173828;0.24608380680349431
141;81.31510901451111;openai/gpt-oss-120b;;H100-NVL;0.6526477336883545;0.24821518790579042
142;82.20692896842957;openai/gpt-oss-120b;;H100-NVL;0.891819953918457;0.25112764450115804
143;83.40134382247925;openai/gpt-oss-120b;;H100-NVL;1.1944148540496826;0.2550282988922125
144;84.28389525413513;openai/gpt-oss-120b;;H100-NVL;0.8825514316558838;0.25791048685692847
147;85.476815700531;openai/gpt-oss-120b;;H100-NVL;1.192920446395874;0.2618062608935926
145;85.50636649131775;openai/gpt-oss-120b;;H100-NVL;0.029550790786743164;0.26190276624217446
146;86.05796837806702;openai/gpt-oss-120b;;H100-NVL;0.5516018867492676;0.2637041573705311
151;88.00411534309387;openai/gpt-oss-120b;;H100-NVL;1.9461469650268555;0.2700597771780302
148;88.17698335647583;openai/gpt-oss-120b;;H100-NVL;0.172868013381958;0.2706243200361377
150;88.30426454544067;openai/gpt-oss-120b;;H100-NVL;0.12728118896484375;0.27103998794829653
149;88.32642245292664;openai/gpt-oss-120b;;H100-NVL;0.022157907485961914;0.27111235002487205
152;88.51046299934387;openai/gpt-oss-120b;;H100-NVL;0.18404054641723633;0.2717133795273774
153;88.66436743736267;openai/gpt-oss-120b;;H100-NVL;0.15390443801879883;0.2722159921832108
154;89.7139093875885;openai/gpt-oss-120b;;H100-NVL;1.04954195022583;0.275643528606476
155;89.81456875801086;openai/gpt-oss-120b;;H100-NVL;0.10065937042236328;0.275972256446646
156;90.02377200126648;openai/gpt-oss-120b;;H100-NVL;0.20920324325561523;0.27665546090166526
159;90.75737047195436;openai/gpt-oss-120b;;H100-NVL;0.7335984706878804;0.2790512064721909
157;90.93751168251038;openai/gpt-oss-120b;;H100-NVL;0.18014121055601606;0.2796395017379294
158;91.30602073669434;openai/gpt-oss-120b;;H100-NVL;0.36850905418395996;0.28084295835559653
160;92.2810356616974;openai/gpt-oss-120b;;H100-NVL;0.975014925003066;0.28402710851553636
161;93.12363028526306;openai/gpt-oss-120b;;H100-NVL;0.8425946235656596;0.28677880773222547
162;93.83452081680298;openai/gpt-oss-120b;;H100-NVL;0.710890531539917;0.2891003949630009
166;93.85116672515868;openai/gpt-oss-120b;;H100-NVL;0.01664590835569868;0.2891547562557298
164;94.10470628738403;openai/gpt-oss-120b;;H100-NVL;0.253539562225356;0.2899827518247293
163;94.2345335483551;openai/gpt-oss-120b;;H100-NVL;0.12982726097106934;0.29040673455892624
165;94.34047317504884;openai/gpt-oss-120b;;H100-NVL;0.1059396266937398;0.2907527063698498
167;95.42751717567444;openai/gpt-oss-120b;;H100-NVL;1.0870440006255961;0.29430271492837806
168;95.9244828224182;openai/gpt-oss-120b;;H100-NVL;0.4969656467437602;0.2959256780266699
169;95.94952321052553;openai/gpt-oss-120b;;H100-NVL;0.025040388107328226;0.2960074535500514
170;96.57355308532716;openai/gpt-oss-120b;;H100-NVL;0.6240298748016357;0.2980453760214953
172;97.14314222335815;openai/gpt-oss-120b;;H100-NVL;0.5695891380309916;0.29990550892659484
171;97.29894638061523;openai/gpt-oss-120b;;H100-NVL;0.15580415725708008;0.30041432558111725
173;97.4754400253296;openai/gpt-oss-120b;;H100-NVL;0.17649364471436968;0.3009907088267828
175;98.6261179447174;openai/gpt-oss-120b;;H100-NVL;1.150677919387789;0.3047485295401902
174;98.90415000915527;openai/gpt-oss-120b;;H100-NVL;0.2780320644378804;0.3056565113769252
176;101.23973202705383;openai/gpt-oss-120b;;H100-NVL;2.3355820178985596;0.31328392677861355
177;103.03496956825256;openai/gpt-oss-120b;;H100-NVL;1.7952375411987305;0.3191467148830316
178;104.11184120178224;openai/gpt-oss-120b;;H100-NVL;1.0768716335296773;0.3226635030841224
179;104.62286329269408;openai/gpt-oss-120b;;H100-NVL;0.5110220909118368;0.3243323709453037
180;105.15277147293092;openai/gpt-oss-120b;;H100-NVL;0.5299081802368448;0.32606291595911396
181;106.65251612663268;openai/gpt-oss-120b;;H100-NVL;1.4997446537017538;0.3309606996304135
182;107.76102876663208;openai/gpt-oss-120b;;H100-NVL;1.1085126399994039;0.33458081929159555
183;110.2490885257721;openai/gpt-oss-120b;;H100-NVL;2.4880597591400146;0.34270618812118625
184;110.71676087379456;openai/gpt-oss-120b;;H100-NVL;0.46767234802246094;0.344233486774333
185;112.47214341163637;openai/gpt-oss-120b;;H100-NVL;1.755382537841811;0.3499661185990275
187;113.00768804550172;openai/gpt-oss-120b;;H100-NVL;0.5355446338653564;0.3517150708333453
188;113.27312207221983;openai/gpt-oss-120b;;H100-NVL;0.2654340267181112;0.3525819106908227
186;113.49798011779784;openai/gpt-oss-120b;;H100-NVL;0.22485804557800293;0.35331623973895365
189;113.55393195152284;openai/gpt-oss-120b;;H100-NVL;0.05595183372500401;0.35349896416268883
190;115.68566608428956;openai/gpt-oss-120b;;H100-NVL;2.1317341327667236;0.36046066434361385
192;115.70030665397644;openai/gpt-oss-120b;;H100-NVL;0.014640569686875438;0.3605084767115219
191;116.07333207130432;openai/gpt-oss-120b;;H100-NVL;0.37302541732788086;0.36172668261974683
193;116.08736991882324;openai/gpt-oss-120b;;H100-NVL;0.014037847518920898;0.36177252665072146
195;116.5268416404724;openai/gpt-oss-120b;;H100-NVL;0.4394717216491557;0.36320772924802924
194;116.64994382858276;openai/gpt-oss-120b;;H100-NVL;0.12310218811036577;0.36360974960885534
199;116.98687839508057;openai/gpt-oss-120b;;H100-NVL;0.33693456649780273;0.36471009199981913
198;117.01454019546507;openai/gpt-oss-120b;;H100-NVL;0.027661800384507274;0.3648004283873552
197;117.2778468132019;openai/gpt-oss-120b;;H100-NVL;0.2633066177368306;0.36566032066949367
196;117.31919360160828;openai/gpt-oss-120b;;H100-NVL;0.04134678840637207;0.3657953487388504
200;118.14892554283142;openai/gpt-oss-120b;;H100-NVL;0.8297319412231445;0.3685050417144165
201;118.9948320388794;openai/gpt-oss-120b;;H100-NVL;0.8459064960479736;0.3712675566622537
202;119.48764061927795;openai/gpt-oss-120b;;H100-NVL;0.49280858039855957;0.37287694384172776
203;119.86824870109558;openai/gpt-oss-120b;;H100-NVL;0.38060808181762695;0.3741199127989365
204;119.99992275238036;openai/gpt-oss-120b;;H100-NVL;0.13167405128477583;0.3745499266794492
206;122.32982683181764;openai/gpt-oss-120b;;H100-NVL;2.3299040794372843;0.3821587993817429
205;122.34732174873352;openai/gpt-oss-120b;;H100-NVL;0.017494916915879344;0.3822159333199702
207;124.696937084198;openai/gpt-oss-120b;;H100-NVL;2.3496153354644775;0.38988917795896166
208;165.32816886901855;openai/gpt-oss-120b;;H100-NVL;40.63123178482056;0.5225804218245711
209;169.7241711616516;openai/gpt-oss-120b;;H100-NVL;4.396002292633057;0.5369366445286898
210;179.04145908355713;openai/gpt-oss-120b;;H100-NVL;9.317287921905518;0.5673645313906761
211;184.40712571144104;openai/gpt-oss-120b;;H100-NVL;5.365666627883911;0.5848874305927647
212;184.45328092575076;openai/gpt-oss-120b;;H100-NVL;0.046155214309720805;0.5850381617551885
213;184.9823145866394;openai/gpt-oss-120b;;H100-NVL;0.5290336608886435;0.5867658508117708
214;193.8531093597412;openai/gpt-oss-120b;;H100-NVL;8.870794773101807;0.6157356048855119
215;194.89285612106323;openai/gpt-oss-120b;;H100-NVL;1.0397467613220215;0.6191311527191515
216;195.34480619430545;openai/gpt-oss-120b;;H100-NVL;0.4519500732422159;0.6206071064313416
217;201.08918690681455;openai/gpt-oss-120b;;H100-NVL;5.744380712509098;0.6393667892786928
218;203.0285520553589;openai/gpt-oss-120b;;H100-NVL;1.93936514854434;0.6457002614026195
219;203.30991220474243;openai/gpt-oss-120b;;H100-NVL;0.2813601493835449;0.6466191119162744
220;204.2601628303528;openai/gpt-oss-120b;;H100-NVL;0.95025062561038;0.6497223881881846
221;205.6905677318573;openai/gpt-oss-120b;;H100-NVL;1.4304049015044882;0.6543937259073379
223;208.0452790260315;openai/gpt-oss-120b;;H100-NVL;2.3547112941741943;0.6620836126482341
222;208.128292798996;openai/gpt-oss-120b;;H100-NVL;0.08301377296450596;0.6623547144659435
224;214.6374764442444;openai/gpt-oss-120b;;H100-NVL;6.509183645248413;0.6836120487011407
225;215.1517984867096;openai/gpt-oss-120b;;H100-NVL;0.5143220424651815;0.6852916933627554
226;216.2908477783203;openai/gpt-oss-120b;;H100-NVL;1.1390492916107178;0.6890115379426219
227;216.57024765014648;openai/gpt-oss-120b;;H100-NVL;0.2793998718261719;0.6899239866895576
229;216.96517157554624;openai/gpt-oss-120b;;H100-NVL;0.39492392539975185;0.6912137075420067
228;217.73673486709595;openai/gpt-oss-120b;;H100-NVL;0.771563291549711;0.6937334365381388
230;217.8310546875;openai/gpt-oss-120b;;H100-NVL;0.09431982040405273;0.6940414610242502
